Name;Absolute Pressure, bar;Amplitude;Part;;;
TA_SB_FP_3;21.32;Pk2_ampl;;;;
Inner;21.32;Pk2_ampl;SL_IL;;;
TA_SB_fp_3a_demp;21.32;Pk2_ampl;;;;
Press21_60;21.6;Pk2_ampl;;;;
Press_outer;21.6;Pk2_ampl;IH_finger-1;IH_finger-1-rad-2;IH_finger-1-rad-3;IH_finger-1-rad-4
inner;21.6;Pk2_ampl;IH_plates-1;;;
TA_SB_transition_piece_gas_side;22;Pk2_ampl;;;;
Press_Mixer;22;Pk2_ampl;;;;
Inner;22;Pk2_ampl;mixer_new-1;;;
Press_hot_gas;22.22;Pk2_ampl;;;;
Press22_45;22.45;Pk2_ampl;;;;
Inner;22.45;Pk2_ampl;Cooling_casing_1-1;Cooling_casing_2-1;;
Press_inner;22.45;Pk2_ampl;IH_finger-1;IH_finger-1-rad-2;IH_finger-1-rad-3;IH_finger-1-rad-4
Press_outer;22.45;Pk2_ampl;IH_gas_plenum-1;IH_gas_plenum-1-rad-2;IH_gas_plenum-1-rad-3;IH_gas_plenum-1-rad-4
outer;22.45;Pk2_ampl;IH_plates-1;;;
Pressure_inner;22.45;Pk2_ampl;LFD-1;;;
Outer;22.45;Pk2_ampl;mixer_new-1;SL_IL;;
Inner;22.45;Pk2_ampl;SL_IS;;;
Thermal;22.45;Pk2_ampl;strut-1;;;
SB_plenum;22.45;Pk2_ampl;;;;
Press_inner;23;Pk2_ampl;IH_gas_plenum-1;IH_gas_plenum-1-rad-2;IH_gas_plenum-1-rad-3;IH_gas_plenum-1-rad-4
HTC1439;23;Pk2_ampl;;;;
TA_fuel_02;23;Pk2_ampl;;;;
TA_fuel_gas_02;23;Pk2_ampl;;;;
TA_fuel;23;Pk2_ampl;;;;
TA_fuel_gas;23;Pk2_ampl;;;;
gas_injection;23;Pk2_ampl;;;;
TA_CH_inner_surface;23.03;Pk2_ampl;;;;
Outer;23.03;Pk2_ampl;Cooling_casing_1-1;Cooling_casing_2-1;strut-1;
Casings_Tk2_plenum;23.03;Pk2_ampl;;;;
Tk2_plenum;23.03;Pk2_ampl;;;;
PressPk2;23.03;Pk2_ampl;FS;;;
Pressure_outer;23.03;Pk2_ampl;LFD-1;;;
pk2;23.03;Pk2_ampl;mixer_new-1;;;
Thermal;23.09;Pk2_ampl;Bulkhead;;;
Bull_inner;23.09;Pk2_ampl;;;;
Front;23.09;Pk2_ampl;Cooling_casing_1-1;;;
Outer;23.09;Pk2_ampl;Centering_sleeve-1;SL_IS;;
TA_Can_hole;23.09;Pk2_ampl;ring-3;;;
pk2;23.09;Pk2_ampl;SL_IL;TH_new-1;;
Zone13;23.09;Pk2_ampl;SL_PF;;;
