Name;Temperature;HTC;Temp Amplitude;HTC Amplitude;Part;;;;;;;;;;;;;;;;;;;;;;;;;;;
thermal_shield;15;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_fuel_oil;15;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oil_injection;15;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_fuel_02;15;1366;;gas_fuel;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_fuel_gas_02;15;1366;;gas_fuel;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_fuel;15;3678;;gas_fuel;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_fuel_gas;15;3678;;gas_fuel;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gas_injection;15;3678;;gas_fuel;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inner;45;1416;;gas_fuel;IH_gas_plenum-1;IH_gas_plenum-1-rad-2;IH_gas_plenum-1-rad-3;IH_gas_plenum-1-rad-4;;;;;;;;;;;;;;;;;;;;;;;;
HTC1439;45;1416;;gas_fuel;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nozzle_inner;45;5711;;gas_fuel;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nozzles;45;5711;;gas_fuel;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_CH_outer_surface;80;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FS_term_S1;80;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CZ13;80;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ambient;80;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_FMS_ambient;100;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_ambient;100;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cavity_inside;100;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_Can_hole;465;50;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DU2512;465;50;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Outer;465;89;T_ampl_Tk2;HTC_mk2_scale;FS_HULA-1;;;;;;;;;;;;;;;;;;;;;;;;;;;
FS_term_inlet;465;164;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inner;465;197;T_ampl_Tk2;HTC_mk2_scale;FS_HULA-1;;;;;;;;;;;;;;;;;;;;;;;;;;;
Outer_UpSt;465;267;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Casings_Tk2_plenum;465;297;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_CH_inner_surface;465;297;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Outer;465;297;T_ampl_Tk2;HTC_mk2_scale;Cooling_casing_1-1;Cooling_casing_2-1;strut-1;;;;;;;;;;;;;;;;;;;;;;;;;
Tk2_plenum;465;297;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FS_term_zone2_6_7_8;465;297;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_LFD_outer;465;297;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thermal;465;400;T_ampl_Tk2;HTC_mk2_scale;Axis-L;Bulkhead;Axis-R;;;;;;;;;;;;;;;;;;;;;;;;;
Bull_inner;465;400;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Front;465;400;T_ampl_Tk2;HTC_mk2_scale;Centering_sleeve-1;Cooling_casing_1-1;;;;;;;;;;;;;;;;;;;;;;;;;;
ST2502;465;400;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
